netcdf_name,longname,units,level,standardname
a1_band,A1 Band,1,,
a2_band,A2 Band,1,,
a_reference_counts,Reference Absorption,counts,L0,
a_reference_dark_counts,Absorption Dark Reference,counts,,
a_signal_counts,Signal Absorption,counts,L0,
a_signal_dark_counts,Absorption Dark Signal,counts,,
abs_seafloor_pressure,Seafloor Pressure,dbar,L1,sea_water_pressure_at_sea_floor
absolute_pressure,Seafloor Pressure,psi,L0,
absolute_pressure_burst,Seafloor Pressure,psi,L0,
absorbance_blank_434,Optical Absorbance Ratio at 434 Nm - Blank,1,L0,
absorbance_blank_620,Optical Absorbance Ratio at 620 Nm - Blank,1,L0,
absorbance_ratio_434,Optical Absorbance Ratio at 434 Nm,counts,L0,
absorbance_ratio_620,Optical Absorbance Ratio at 620 Nm,counts,L0,
acceleration_x,Acceleration X,gravity,,
acceleration_y,Acceleration Y,gravity,,
acceleration_z,Acceleration Z,gravity,,
acidity,Acidity at 25 Degrees Celsius,mmol/kg,,
acq_crystal_coeff_fra0,Acq Crystal Coeff Fra0,1,,
acq_crystal_coeff_fra1,Acq Crystal Coeff Fra1,1,,
acq_crystal_coeff_fra2,Acq Crystal Coeff Fra2,1,,
acq_crystal_coeff_fra3,Acq Crystal Coeff Fra3,1,,
active_leak_detect_channels,Active Leak-Detect Channels (Bitmask),1,,
active_swgf_channels,Active SWGF Channels (Bitmask); '7' = All 3 Enabled,1,,
adc_ambient_temp,ADC Ambient Temperature,counts,,
adc_attitude,ADC Attitiude,counts,,
adc_attitude_temp,ADC Attitude Temperature,counts,,
adc_contamination_sensor,ADC Contamination Sensor,counts,,
adc_headers,ADC File Column Headers,,L0,
adc_pressure_minus,ADC Pressure Minus,counts,,
adc_pressure_plus,ADC Pressure Plus,counts,,
adc_transmit_current,ADC Transmit Current,counts,,
adc_transmit_voltage,ADC Transmit Voltage,counts,,
adcp_ambient_temp,Ambient Temperature,degrees_Celsius,,
adcp_attitude_temp,Attitude Temperature,degrees_Celsius,,
adcp_internal_moisture,Internal Moisture,1,,
adcp_pressure,Pressure,degrees,L0,
adcp_pressure_stdev,Pressure Standard Deviation,degrees,L0,
adcp_temperature,Temperature,degrees_Celsius,L0,
adcp_transmit_current,Transmit Current,A,,
adcp_transmit_impedance,Transmit Impedance,Ohms,,
adcp_transmit_test_results,Transmit Test Results,1,,
